sep=,
,Constituent RIC
0,POOL.OQ
1,CHRW.OQ
2,AJG.N
3,CNP.N
4,AMCR.N
5,WM.N
6,BA.N
7,FOX.OQ
8,WY.N
9,MCD.N
10,HD.N
11,SPG.N
12,HBAN.OQ
13,QRVO.OQ
14,LVS.N
15,CTRA.N
16,ON.OQ
17,AIG.N
18,AIZ.N
19,CARR.N
20,EVRG.OQ
21,COST.OQ
22,MCO.N
23,DIS.N
24,LULU.OQ
25,PAYX.OQ
26,AMD.OQ
27,REG.OQ
28,DHI.N
29,TRV.N
30,BIO.N
31,MOS.N
32,BWA.N
33,WDC.OQ
34,VTR.N
35,IVZ.N
36,ZBRA.OQ
37,AMAT.OQ
38,STX.OQ
39,FDS.N
40,KVUE.N
41,SYK.N
42,VRSN.OQ
43,TECH.OQ
44,NVR.N
45,JBL.N
46,BBWI.N
47,LOW.N
48,BSX.N
49,SYY.N
50,FCX.N
51,MAS.N
52,BEN.N
53,META.OQ
54,PAYC.N
55,EXPE.OQ
56,RJF.N
57,CL.N
58,VICI.N
59,CE.N
60,UNH.N
61,ARE.N
62,GEN.OQ
63,LLY.N
64,CDAY.N
65,GRMN.N
66,PODD.OQ
67,ISRG.OQ
68,AVB.N
69,TPR.N
70,CBRE.N
71,CINF.OQ
72,WMB.N
73,EA.OQ
74,TMUS.OQ
75,CB.N
76,TXN.OQ
77,MDLZ.OQ
78,BRO.N
79,BALL.N
80,PFG.OQ
81,KEYS.N
82,PCG.N
83,RL.N
84,JPM.N
85,TTWO.OQ
86,CDW.OQ
87,RMD.N
88,LNT.OQ
89,COO.OQ
90,CMG.N
91,PCAR.OQ
92,GNRC.N
93,CHTR.OQ
94,PWR.N
95,CCL.N
96,PM.N
97,SNA.N
98,UAL.OQ
99,ESS.N
100,KHC.OQ
101,BLDR.N
102,JBHT.OQ
103,CMI.N
104,PNR.N
105,CRL.N
106,DPZ.N
107,HPQ.N
108,ROP.OQ
109,LW.N
110,TGT.N
111,NTAP.OQ
112,OXY.N
113,IR.N
114,TER.OQ
115,WAB.N
116,NOW.N
117,EXC.OQ
118,BR.N
119,EMN.N
120,AZO.N
121,TEL.N
122,FRT.N
123,DUK.N
124,KMI.N
125,DVN.N
126,RCL.N
127,VTRS.OQ
128,CAH.N
129,AAL.OQ
130,MKC.N
131,IEX.N
132,VLO.N
133,EXPD.N
134,LH.N
135,DRI.N
136,MAA.N
137,JNJ.N
138,COR.N
139,SHW.N
140,GD.N
141,SBAC.OQ
142,MPWR.OQ
143,COP.N
144,ORCL.N
145,AMP.N
146,NXPI.OQ
147,CPRT.OQ
148,TXT.N
149,T.N
150,MTCH.OQ
151,NDAQ.OQ
152,FFIV.OQ
153,LEN.N
154,CDNS.OQ
155,NVDA.OQ
156,WELL.N
157,PLD.N
158,ROST.OQ
159,MRK.N
160,WEC.N
161,MSCI.N
162,TMO.N
163,F.N
164,GEHC.OQ
165,LYB.N
166,IBM.N
167,IQV.N
168,VRTX.OQ
169,DXCM.OQ
170,PEP.OQ
171,AOS.N
172,BLK.N
173,HII.N
174,CVS.N
175,PH.N
176,NSC.N
177,MSFT.OQ
178,HWM.N
179,BAX.N
180,HUM.N
181,AXON.OQ
182,ZBH.N
183,TDY.N
184,GILD.OQ
185,EPAM.N
186,CMA.N
187,NOC.N
188,PNW.N
189,BFb.N
190,DE.N
191,HSY.N
192,GL.N
193,SLB.N
194,AWK.N
195,PKG.N
196,FLT.N
197,ADI.OQ
198,MMC.N
199,IT.N
200,ECL.N
201,BXP.N
202,GE.N
203,ED.N
204,ALLE.N
205,OTIS.N
206,WFC.N
207,CTVA.N
208,FTV.N
209,AEE.N
210,PRU.N
211,DLTR.OQ
212,CF.N
213,NEE.N
214,FMC.N
215,ILMN.OQ
216,KLAC.OQ
217,AME.N
218,NUE.N
219,D.N
220,SJM.N
221,EMR.N
222,DVA.N
223,CMS.N
224,HPE.N
225,RHI.N
226,BDX.N
227,MGM.N
228,HUBB.N
229,ALGN.OQ
230,SRE.N
231,REGN.OQ
232,EFX.N
233,USB.N
234,CSGP.OQ
235,HCA.N
236,AVGO.OQ
237,DHR.N
238,NWSA.OQ
239,RTX.N
240,AAPL.OQ
241,CME.OQ
242,MRO.N
243,ADM.N
244,APD.N
245,FANG.OQ
246,WRB.N
247,AXP.N
248,CLX.N
249,DOV.N
250,FSLR.OQ
251,MTB.N
252,FDX.N
253,TROW.OQ
254,JKHY.OQ
255,O.N
256,MLM.N
257,RVTY.N
258,L.N
259,QCOM.OQ
260,IPG.N
261,PHM.N
262,ANSS.OQ
263,ULTA.OQ
264,KO.N
265,CSCO.OQ
266,WTW.OQ
267,ANET.N
268,ES.N
269,CTAS.OQ
270,GPN.N
271,RSG.N
272,LIN.OQ
273,MCK.N
274,HLT.N
275,NFLX.OQ
276,FI.N
277,RF.N
278,WMT.N
279,AMGN.OQ
280,KIM.N
281,PXD.N
282,DG.N
283,XRAY.OQ
284,EQR.N
285,URI.N
286,TDG.N
287,CNC.N
288,NKE.N
289,AES.N
290,ELV.N
291,GWW.N
292,K.N
293,GOOGL.OQ
294,GM.N
295,CCI.N
296,COF.N
297,C.N
298,ODFL.OQ
299,A.N
300,MOH.N
301,GS.N
